,Date,Country,City,Specie,count,min,max,median,variance
219,06/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,30.0,27.5,37.59
220,17/04/2020,VN,Ho Chi Minh City,temperature,24,27.0,35.0,29.0,71.01
221,05/05/2020,VN,Ho Chi Minh City,temperature,24,29.0,36.5,30.0,72.79
222,28/06/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.0,27.0,38.26
223,21/11/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.0,27.5,39.96
224,27/11/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,28.0,58.89
225,22/10/2020,VN,Ho Chi Minh City,temperature,24,25.5,33.5,28.5,74.55
226,31/10/2020,VN,Ho Chi Minh City,temperature,24,23.5,32.5,26.5,88.04
227,16/11/2020,VN,Ho Chi Minh City,temperature,24,24.5,34.0,26.0,127.66
228,29/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,30.5,26.0,33.84
229,03/05/2020,VN,Ho Chi Minh City,temperature,24,27.5,35.0,30.0,70.5
230,26/05/2020,VN,Ho Chi Minh City,temperature,24,26.0,36.0,31.0,119.4
231,09/09/2020,VN,Ho Chi Minh City,temperature,24,27.0,33.5,28.0,45.21
232,13/08/2020,VN,Ho Chi Minh City,temperature,24,25.5,31.0,26.0,29.4
233,14/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,27.0,26.0,4.33
234,25/12/2020,VN,Ho Chi Minh City,temperature,24,23.5,32.0,28.0,71.29
235,01/01/2021,VN,Ho Chi Minh City,temperature,24,23.0,29.5,24.5,49.71
236,06/06/2020,VN,Ho Chi Minh City,temperature,24,26.0,32.0,28.5,27.46
237,23/06/2020,VN,Ho Chi Minh City,temperature,24,26.0,35.0,30.0,81.95
238,19/07/2020,VN,Ho Chi Minh City,temperature,24,25.0,34.0,30.0,90.0
239,06/01/2021,VN,Ho Chi Minh City,temperature,24,24.0,32.0,27.5,61.63
240,16/01/2020,VN,Ho Chi Minh City,temperature,24,22.5,34.0,27.5,136.36
241,26/06/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.5,27.5,67.61
242,07/09/2020,VN,Ho Chi Minh City,temperature,24,24.0,34.0,28.5,112.54
243,12/06/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.5,29.5,83.97
244,07/07/2020,VN,Ho Chi Minh City,temperature,24,27.0,33.0,29.0,52.54
245,11/04/2020,VN,Ho Chi Minh City,temperature,24,27.0,33.0,29.0,46.08
246,16/04/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.5,29.0,78.15
247,27/04/2020,VN,Ho Chi Minh City,temperature,24,25.0,35.0,28.0,128.04
248,27/07/2020,VN,Ho Chi Minh City,temperature,23,26.0,34.5,30.0,72.95
249,03/08/2020,VN,Ho Chi Minh City,temperature,24,24.0,28.0,26.5,11.41
250,29/08/2020,VN,Ho Chi Minh City,temperature,24,27.0,34.0,29.0,51.81
251,12/09/2020,VN,Ho Chi Minh City,temperature,24,25.5,34.0,27.0,86.41
252,17/11/2020,VN,Ho Chi Minh City,temperature,24,25.0,34.0,29.0,97.81
253,04/01/2020,VN,Ho Chi Minh City,temperature,24,23.5,33.0,27.0,98.22
254,27/02/2020,VN,Ho Chi Minh City,temperature,24,24.0,35.0,28.0,121.01
255,19/06/2020,VN,Ho Chi Minh City,temperature,24,27.0,34.0,29.0,43.26
256,04/12/2020,VN,Ho Chi Minh City,temperature,24,22.0,32.0,26.5,129.52
257,23/07/2020,VN,Ho Chi Minh City,temperature,21,23.5,32.5,27.0,60.15
258,11/01/2021,VN,Ho Chi Minh City,temperature,24,22.0,32.0,26.0,120.27
259,16/03/2020,VN,Ho Chi Minh City,temperature,24,25.5,36.5,28.5,128.37
260,02/04/2020,VN,Ho Chi Minh City,temperature,24,27.0,35.5,29.5,86.45
261,16/07/2020,VN,Ho Chi Minh City,temperature,24,28.0,32.0,29.0,24.28
262,11/08/2020,VN,Ho Chi Minh City,temperature,24,27.0,34.0,29.5,55.22
263,16/08/2020,VN,Ho Chi Minh City,temperature,24,25.0,34.0,27.5,87.39
264,20/09/2020,VN,Ho Chi Minh City,temperature,24,24.0,32.0,26.5,70.94
265,11/11/2020,VN,Ho Chi Minh City,temperature,23,22.0,29.5,26.5,56.14
266,22/06/2020,VN,Ho Chi Minh City,temperature,24,25.0,34.0,27.5,93.26
267,08/08/2020,VN,Ho Chi Minh City,temperature,24,25.0,31.0,26.0,29.45
268,10/08/2020,VN,Ho Chi Minh City,temperature,24,24.0,31.0,27.0,40.97
269,07/04/2020,VN,Ho Chi Minh City,temperature,24,28.0,33.5,29.0,48.24
270,27/06/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.0,28.0,75.87
271,21/09/2020,VN,Ho Chi Minh City,temperature,24,24.5,33.0,26.5,89.34
272,07/03/2020,VN,Ho Chi Minh City,temperature,24,25.5,34.0,27.0,85.71
273,11/03/2020,VN,Ho Chi Minh City,temperature,24,27.0,33.0,28.0,43.89
274,23/09/2020,VN,Ho Chi Minh City,temperature,23,23.5,32.0,26.5,72.38
275,02/10/2020,VN,Ho Chi Minh City,temperature,24,26.0,32.5,27.0,36.29
276,12/11/2020,VN,Ho Chi Minh City,temperature,24,23.5,33.5,26.0,78.53
277,06/02/2020,VN,Ho Chi Minh City,temperature,24,22.0,32.0,27.0,104.49
278,09/02/2020,VN,Ho Chi Minh City,temperature,12,25.0,31.0,26.5,35.61
279,25/02/2020,VN,Ho Chi Minh City,temperature,4,28.0,29.0,28.0,2.5
280,08/01/2021,VN,Ho Chi Minh City,temperature,24,24.0,33.0,27.0,82.75
281,19/01/2021,VN,Ho Chi Minh City,temperature,24,20.0,27.5,24.0,65.65
282,02/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,34.0,28.5,98.58
283,16/12/2020,VN,Ho Chi Minh City,temperature,24,24.0,33.0,27.0,87.93
